hotel_id,hotel_name,rating,no_reviews,hotel_link
3274,Garden Plaza Saigon (Formerly PARKROYAL Saigon),4.3,1726.0,"https://www.google.com/maps/place/Garden+Plaza+Saigon+(Formerly+PARKROYAL+Saigon)/@10.7991369,106.6679551,17z/data=!4m9!3m8!1s0x317528d5ff3c8957:0x8b4929466e979253!5m2!4m1!1i2!8m2!3d10.7991369!4d106.6679551!16s%2Fg%2F1tjyl68s?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
9698,TTC Hotel Premium - Dalat,4.1,1285.0,"https://www.google.com/maps/place/TTC+Hotel+Premium+-+Dalat/@11.9418548,108.4376529,17z/data=!4m9!3m8!1s0x3171132f11dddd7d:0x1d2b9c04931e8614!5m2!4m1!1i2!8m2!3d11.9418548!4d108.4376529!16s%2Fg%2F1tlzxnsd?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
902,Lotte Hotel Saigon,4.6,6162.0,"https://www.google.com/maps/place/Lotte+Hotel+Saigon/@10.7786426,106.7067745,17z/data=!4m9!3m8!1s0x31752f44056eabab:0xdef86229da28b53e!5m2!4m1!1i2!8m2!3d10.7786426!4d106.7067745!16s%2Fg%2F1tf9q9zt?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
163,Ramana Hotel Saigon,3.9,2385.0,"https://www.google.com/maps/place/Ramana+Hotel+Saigon/@10.7877299,106.6776313,17z/data=!4m9!3m8!1s0x31752f2a600fffe3:0x8e65d32f7045c0d3!5m2!4m1!1i2!8m2!3d10.7877299!4d106.6776313!16s%2Fg%2F11b86v51_s?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
9195,Renaissance Riverside Hotel Saigon,4.4,3942.0,"https://www.google.com/maps/place/Renaissance+Riverside+Hotel+Saigon/@10.7744,106.70618,17z/data=!4m9!3m8!1s0x31752f24260a5a85:0x4b49ec5f1ee03081!5m2!4m1!1i2!8m2!3d10.7744!4d106.70618!16s%2Fg%2F1th0vvzw?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10944,Saigon CanTho,3.4,523.0,"https://www.google.com/maps/place/Saigon+CanTho/@10.0324892,105.7869294,17z/data=!4m9!3m8!1s0x31a062a165494bcd:0x85ad15624c790793!5m2!4m1!1i2!8m2!3d10.0324892!4d105.7869294!16s%2Fg%2F1tx12wd4?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10947,Victoria Chau Doc Hotel,4.8,3433.0,"https://www.google.com/maps/place/Victoria+Chau+Doc+Hotel/@10.7080956,105.1244688,17z/data=!4m9!3m8!1s0x310a26a7cec6a2c1:0x760459941a34ce98!5m2!4m1!1i2!8m2!3d10.7080956!4d105.1244688!16s%2Fg%2F1q5gk92ql?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10949,Khách sạn Dalat Palace,4.4,1446.0,"https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Dalat+Palace/@11.9376172,108.4403766,17z/data=!4m9!3m8!1s0x317113319176da97:0xbd2f298ef90a650f!5m2!4m1!1i2!8m2!3d11.9376172!4d108.4403766!16s%2Fm%2F03g_yqw?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10950,Du Parc Hotel Dalat,4.0,1551.0,"https://www.google.com/maps/place/Du+Parc+Hotel+Dalat/@11.9366756,108.4390568,17z/data=!4m9!3m8!1s0x3171133073c63919:0x79ff591500016721!5m2!4m1!1i2!8m2!3d11.9366756!4d108.4390568!16s%2Fg%2F1ptzp9tvh?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10960,Hanoi Daewoo Hotel,4.4,6221.0,"https://www.google.com/maps/place/Hanoi+Daewoo+Hotel/@21.030832,105.8117912,17z/data=!4m9!3m8!1s0x3135ab69f923a7d3:0xc4846eb8a8ebb1d!5m2!4m1!1i2!8m2!3d21.030832!4d105.8117912!16s%2Fg%2F1217thr5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
